Generation,New Infections,Cumulative Infections
0,1,1
1,6,7
2,6,13
3,10,23
4,10,33
5,16,49
6,23,72
7,38,110
8,48,158
9,72,230
10,125,355
11,184,539
12,265,804
13,394,1198
14,563,1761
15,782,2543
16,1176,3719
17,1697,5416
18,2536,7952
19,3775,11727
